父亲工作,父亲工作类型,母亲工作,母亲工作类型
中铁六局太原铁路建设公司,国企,鑫智点交通设施有限公司,私有企业
凯信会议服务有限公司,私营企业,长城国际旅行社有限责任公司,国企
银光聚银化工有限公司,国企,九亩花田蛋糕店,自由职业
元拓科技咨询有限公司,私营企业,中国平安财险股份有限公司,私有企业
市广播电视大学,教育行业,市实验中学,教育 机构
"市经济合作局
",行政执法机构,"县住房保障中心
",国企
区建豪汽修中心,私营企业,家庭主妇,自由职业
区建豪汽修中心,私营企业,家庭主妇,自由职业
陕西省水利水电第三工程局,国企,二十一冶,国企
渭源陇原恒新畜牧科技有限公司,私有企业,XX路街道诚信社区,行政执法机构
市民政局,行政执法机构,矿冶职业技术学院,教育 机构
北京路九洋菜市场刘伟鲜面店,私有企业,北京路九洋菜市场刘伟鲜面店,私有企业
市第一人民医院,医疗行业,公路应急保障与路网监测中心,事业单位
市农业农村局,国企,市委编办,事业单位
老姐饺子馆,自由职业,,
大市场清华电动工具,私有企业,家庭主妇,自由职业
市统计局,国企,个体,自由职业
盛泰房地产公司,私有企业,家庭主妇,自由职业
盛泰房地产公司,私有企业,家庭主妇,自由职业
县瑞金路锦辉消防工程有限公司,私有企业,家庭主妇,自由职业
市农业综合行政执法队,行政执法机构,宏信房地资产评估公司,私有企业
大禹工程咨询有限公司,私有企业,纺织路街道办,事业单位
市中级人民法院,行政执法机构,农行XXX县支行,国企
家庭父亲,自由职业,白银区公园路街道办事处,事业单位
市旅游局,行政执法机构,大自然旅行社,私有企业
陇风巢浴,私有企业,凤巢浴足,私有企业
XXX镇政府,事业单位,美年大健康有限公司,私有企业
市团委,行政执法机构,区应急管理局,行政执法机构
万盛体能拓展中心鑫多米便利店,自由职业,北门流觞烟酒,私有企业
市公安局,行政执法机构,区人民法院,行政执法机构
家庭父母,自由职业,家庭父母,自由职业
公安局,行政执法机构,市给排水（集团）有限公司,私有企业
西区管委会,行政执法机构,市人社局,行政执法机构
市住建局,行政执法机构,市科学技术局,行政执法机构
XXX建设局,行政执法机构,区住建局 ,行政执法机构
银中源工贸有限公司,私有企业,家庭主妇,自由职业
广东省中海油,国企,家庭主妇,自由职业
娟红杂粮食府,自由职业,娟红杂粮食府,私有企业
市政管理处,行政执法机构,区妇幼保健站,事业单位
中国兵器工业公司三冶炼,国企,无,自由职业
万民工程建设有限公司,私有企业,新疆省和田市个体药店,私有企业
市公安局,行政执法机构,省第三人民医院,医疗行业
省监狱局,行政执法机构,区人民法院,行政执法机构
家庭主妇,自由职业,家庭主妇,自由职业
江苏路之久工程建设有限公司,私有企业,家庭主妇,自由职业
市财政局,国企,市教育局,行政执法机构
市财政局,国企,泰安学校教职工,教育机构
瑞禾农资,私有企业,市委统战部,行政执法机构
市纪委,国企,市公安局交警支队,行政执法机构
市委办,国企,市审计局,行政执法机构
第十一中学北侧校园书店,自由职业,顶新文化公司,私有企业
长通公司,私有企业,市育才学校,教育机构
市住建局,国企,区融媒体中心,事业单位
